"Date Heure, GMT+01:00","Tension, V (LGR S/N: 10831978, SEN S/N: 10831978, LBL: dh)","Temp., °C (LGR S/N: 10831978, SEN S/N: 10831978, LBL: T°C)"
06/27/16 12:00:00 PM,1.26787,18.342
06/27/16 12:15:00 PM,1.0663,13.898
06/27/16 12:30:00 PM,1.20661,13.915
06/27/16 12:45:00 PM,1.24533,13.939
06/27/16 01:00:00 PM,1.24437,13.967
06/27/16 01:15:00 PM,1.24105,13.985
06/27/16 01:30:00 PM,1.23953,14.021
06/27/16 01:45:00 PM,1.23854,14.062
06/27/16 02:00:00 PM,1.23789,14.095
06/27/16 02:15:00 PM,1.23873,14.137
06/27/16 02:30:00 PM,1.23877,14.177
06/27/16 02:45:00 PM,1.23884,14.204
06/27/16 03:00:00 PM,1.23812,14.259
06/27/16 03:15:00 PM,1.23785,14.312
06/27/16 03:30:00 PM,1.23812,14.378
06/27/16 03:45:00 PM,1.23838,14.414
06/27/16 04:00:00 PM,1.23789,14.489
06/27/16 04:15:00 PM,1.23842,14.521
06/27/16 04:30:00 PM,1.23865,14.575
06/27/16 04:45:00 PM,1.23842,14.647
06/27/16 05:00:00 PM,1.2393,14.717
06/27/16 05:15:00 PM,1.23892,14.767
06/27/16 05:30:00 PM,1.23903,14.818
06/27/16 05:45:00 PM,1.23842,14.855
06/27/16 06:00:00 PM,1.23854,14.88
06/27/16 06:15:00 PM,1.23842,14.91
06/27/16 06:30:00 PM,1.23911,14.94
06/27/16 06:45:00 PM,1.23896,14.957
06/27/16 07:00:00 PM,1.23938,14.978
06/27/16 07:15:00 PM,1.23941,14.995
06/27/16 07:30:00 PM,1.23907,15.016
06/27/16 07:45:00 PM,1.23941,15.03
06/27/16 08:00:00 PM,1.23869,15.039
06/27/16 08:15:00 PM,1.23888,15.042
06/27/16 08:30:00 PM,1.23926,15.049
06/27/16 08:45:00 PM,1.23896,15.057
06/27/16 09:00:00 PM,1.23892,15.067
06/27/16 09:15:00 PM,1.2388,15.076
06/27/16 09:30:00 PM,1.23884,15.066
06/27/16 09:45:00 PM,1.2398,15.052
06/27/16 10:00:00 PM,1.23816,15.048
06/27/16 10:15:00 PM,1.2393,15.033
06/27/16 10:30:00 PM,1.23884,15.01
06/27/16 10:45:00 PM,1.23892,15.025
06/27/16 11:00:00 PM,1.23915,15.042
06/27/16 11:15:00 PM,1.23892,15.031
06/27/16 11:30:00 PM,1.23884,14.994
06/27/16 11:45:00 PM,1.23877,14.939
06/28/16 12:00:00 AM,1.23938,14.892
06/28/16 12:15:00 AM,1.23945,14.853
06/28/16 12:30:00 AM,1.23934,14.816
06/28/16 12:45:00 AM,1.23941,14.788
06/28/16 01:00:00 AM,1.23987,14.761
06/28/16 01:15:00 AM,1.24048,14.731
06/28/16 01:30:00 AM,1.23911,14.694
06/28/16 01:45:00 AM,1.23911,14.644
06/28/16 02:00:00 AM,1.23865,14.592
06/28/16 02:15:00 AM,1.23953,14.547
06/28/16 02:30:00 AM,1.23911,14.499
06/28/16 02:45:00 AM,1.23934,14.439
06/28/16 03:00:00 AM,1.23865,14.376
06/28/16 03:15:00 AM,1.2393,14.322
06/28/16 03:30:00 AM,1.2398,14.283
06/28/16 03:45:00 AM,1.23941,14.256
06/28/16 04:00:00 AM,1.23911,14.241
06/28/16 04:15:00 AM,1.23999,14.225
06/28/16 04:30:00 AM,1.2393,14.204
06/28/16 04:45:00 AM,1.24067,14.177
06/28/16 05:00:00 AM,1.23968,14.15
06/28/16 05:15:00 AM,1.23999,14.123
06/28/16 05:30:00 AM,1.23911,14.096
06/28/16 05:45:00 AM,1.23995,14.074
06/28/16 06:00:00 AM,1.23915,14.054
06/28/16 06:15:00 AM,1.23922,14.038
06/28/16 06:30:00 AM,1.24052,14.024
06/28/16 06:45:00 AM,1.23941,14.015
06/28/16 07:00:00 AM,1.23896,14.009
06/28/16 07:15:00 AM,1.23865,14.008
06/28/16 07:30:00 AM,1.23892,14.006
